"variasi","menginap","hari","pendapatan"
"B","YA","3,00","19.482,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","YA","5,00","24.514,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","YA","3,00","16.732,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","YA","5,00","273,00"
"B","YA","3,00","17.517,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","YA","1,00","5.779,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","YA","3,00","19.564,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","YA","3,00","16.906,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
